"REF_DATE","GEO","DGUID","Index","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007-01","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","107.4","","","","1"
"2007-02","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","106.3","","","","1"
"2007-03","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","106.3","","","","1"
"2007-04","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","105.1","","","","1"
"2007-05","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","103.4","","","","1"
"2007-06","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","102.6","","","","1"
"2007-07","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","102.5","","","","1"
"2007-08","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","101.4","","","","1"
"2007-09","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","98.9","","","","1"
"2007-10","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","97.3","","","","1"
"2007-11","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","98.5","","","","1"
"2007-12","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","98.7","","","","1"
"2008-01","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","100.2","","","","1"
"2008-02","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","100.4","","","","1"
"2008-03","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","101.9","","","","1"
"2008-04","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","102.0","","","","1"
"2008-05","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","100.6","","","","1"
"2008-06","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","101.7","","","","1"
"2008-07","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","102.1","","","","1"
"2008-08","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","103.5","","","","1"
"2008-09","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","102.4","","","","1"
"2008-10","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","110.7","","","","1"
"2008-11","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","111.1","","","","1"
"2008-12","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","110.7","","","","1"
"2009-01","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","110.8","","","","1"
"2009-02","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","111.9","","","","1"
"2009-03","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","112.9","","","","1"
"2009-04","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","112.3","","","","1"
"2009-05","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","110.4","","","","1"
"2009-06","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","106.5","","","","1"
"2009-07","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","108.1","","","","1"
"2009-08","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","105.6","","","","1"
"2009-09","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","106.2","","","","1"
"2009-10","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","103.8","","","","1"
"2009-11","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","104.6","","","","1"
"2009-12","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","105.1","","","","1"
"2010-01","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","104.2","","","","1"
"2010-02","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","104.4","","","","1"
"2010-03","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","103.3","","","","1"
"2010-04","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","102.3","","","","1"
"2010-05","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","104.9","","","","1"
"2010-06","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","104.5","","","","1"
"2010-07","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","103.4","","","","1"
"2010-08","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","104.8","","","","1"
"2010-09","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","102.2","","","","1"
"2010-10","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","102.3","","","","1"
"2010-11","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","101.9","","","","1"
"2010-12","Canada","2016A000011124","Commercial software","Index, 2011=100","185","units ","0","v61913995","1.1","100.6","","","","1"
